,Delta-Fp1,Delta-F7,Delta-T7,Delta-P7,Delta-O1,Delta-Fp2,Delta-F8,Delta-T8,Delta-P8,Delta-O2,Delta-F3,Delta-C3,Delta-P3,Delta-F4,Delta-C4,Delta-P4,Delta-Fz,Delta-Cz,Delta-Pz,Theta-Fp1,Theta-F7,Theta-T7,Theta-P7,Theta-O1,Theta-Fp2,Theta-F8,Theta-T8,Theta-P8,Theta-O2,Theta-F3,Theta-C3,Theta-P3,Theta-F4,Theta-C4,Theta-P4,Theta-Fz,Theta-Cz,Theta-Pz,Alpha-Fp1,Alpha-F7,Alpha-T7,Alpha-P7,Alpha-O1,Alpha-Fp2,Alpha-F8,Alpha-T8,Alpha-P8,Alpha-O2,Alpha-F3,Alpha-C3,Alpha-P3,Alpha-F4,Alpha-C4,Alpha-P4,Alpha-Fz,Alpha-Cz,Alpha-Pz,Beta-Fp1,Beta-F7,Beta-T7,Beta-P7,Beta-O1,Beta-Fp2,Beta-F8,Beta-T8,Beta-P8,Beta-O2,Beta-F3,Beta-C3,Beta-P3,Beta-F4,Beta-C4,Beta-P4,Beta-Fz,Beta-Cz,Beta-Pz,Gamma-Fp1,Gamma-F7,Gamma-T7,Gamma-P7,Gamma-O1,Gamma-Fp2,Gamma-F8,Gamma-T8,Gamma-P8,Gamma-O2,Gamma-F3,Gamma-C3,Gamma-P3,Gamma-F4,Gamma-C4,Gamma-P4,Gamma-Fz,Gamma-Cz,Gamma-Pz
c507,0.28643048429415097,0.30303008734160125,0.28341508739160437,0.30895168572591275,0.2682710864991346,0.2626093613176797,0.30074690920073976,0.19966592982029982,0.2945125820294635,0.2446760461220789,0.3800917474354781,0.3008505543219193,0.31618418978906304,0.3236272896015852,0.28903770102792464,0.29122356615674105,0.3910600773100856,0.3513977808108601,0.33631701042636386,0.17506905655605967,0.1950291626177899,0.18130104474953168,0.2080377737760701,0.16032499791251978,0.17668059368875944,0.18007551046986514,0.11009111795894376,0.1946344114074349,0.1401027633787389,0.22511038086646182,0.20440211345106565,0.21109048816280873,0.23481716221614263,0.19793786587721293,0.19202238358121623,0.27970527891938807,0.29516638200438455,0.215208335367248,0.13891608756817755,0.147125424575196,0.14770264458352006,0.23747721595088336,0.275165118455899,0.13790943274605236,0.13027187130748258,0.0880630029911268,0.2218583643774181,0.270419892020288,0.173800095534312,0.21401783163866261,0.24886843605914427,0.17370153482725856,0.2167204617151945,0.24941883673947107,0.19448891917911124,0.18014527983306777,0.25541509678648944,0.17725756821454253,0.18493921541970845,0.193786606216474,0.27022770112924627,0.2752200877158687,0.15879006349825878,0.14861740661549674,0.2130934276988869,0.2479233312526239,0.2573269730117213,0.19859517434234206,0.273383041266565,0.281028603159703,0.1812185895048411,0.2613302338612826,0.277742004911403,0.1816242344656501,0.17161375588720693,0.24449662500290284,0.19250937928769427,0.1795265368079595,0.15298840256641366,0.11288648873182111,0.09854606320308022,0.19581225116651368,0.20180818088851002,0.20259772259644385,0.1209346981457196,0.10625299006561342,0.15550718165772398,0.1371686811990897,0.1067186868115445,0.1632463428622794,0.13043437598302368,0.10729630342304391,0.1381289925354555,0.1468793878101781,0.1050498883878402
c508,0.2141164389481714,0.21396214851889256,0.27751519071204517,0.19389874188712053,0.12090495474125754,0.25749251570963283,0.2126725160514982,0.250658299619481,0.1614018493657799,0.10978806794850261,0.2136734326581618,0.17605162815166606,0.15126409478191347,0.23376879653091853,0.13520089149399794,0.15281233211786585,0.21600879807709164,0.20989212480029126,0.14599427958731392,0.2416888039868133,0.23130517694946853,0.23318682774809468,0.21698694743305239,0.16349783504557971,0.2329507192268431,0.21315843943501514,0.2337968753911198,0.21187510287700778,0.1531549682102224,0.2536951225695322,0.21590464922623775,0.2043375053447874,0.2294742352532742,0.16788434256553972,0.19947327181708085,0.2558556968828374,0.2271324233223639,0.2249532441134649,0.2629742487704814,0.2520868346634123,0.2806198661247832,0.3385759315969219,0.3997189389651382,0.2578016947834868,0.2452369433563887,0.2822438644680505,0.3512891725034074,0.3945373979415712,0.285625048690435,0.30160613205731746,0.36208095848553473,0.27379026787256716,0.3038782805782223,0.3482874848995901,0.3024635015601727,0.29660590610770843,0.36952359857413974,0.1814488525181448,0.17029049075741506,0.2041033252695432,0.19454629661643646,0.18185029175533643,0.18870737850046615,0.17671971376071718,0.22200472289265372,0.1978605249175369,0.19272621672609727,0.20081010334264943,0.2320327195900421,0.1953625554961967,0.20587708825912265,0.2397266474547753,0.20730228208175328,0.19676452511894676,0.21390951769845928,0.1837674857119057,0.13109568956986026,0.10398419188628197,0.09678612519826645,0.08451398575489698,0.06736901031878018,0.14707018032491204,0.11309390402730887,0.10224571179792477,0.08120892121146496,0.07092592524391439,0.11433719297712067,0.10050168826808106,0.08183048965825541,0.12870006790270344,0.10239630855768535,0.08634635024787511,0.1148418480332354,0.11502908997470067,0.07400017903636064
c509,0.27095501765424557,0.26678935720930086,0.31763254260501206,0.26455899004803735,0.23764719567610534,0.2596068412690432,0.22492878957987503,0.2714070433367597,0.27934897059421454,0.25234375997159714,0.3269157589920839,0.2710935660981972,0.2572097679961365,0.28098025485733596,0.2431791126372483,0.28814056235980484,0.31414547584919483,0.2819986959240696,0.2568636124314922,0.2400110923059962,0.32209022417985467,0.3514024286639873,0.29625830182100693,0.2635169590535528,0.25656252448972433,0.3283956139036772,0.35288645703966937,0.2951989624647761,0.27394029120382973,0.3016291012666537,0.3156856302581143,0.28402384713288464,0.2978621598760943,0.318720744594827,0.2783955232300189,0.2873374132540824,0.27316259437634066,0.29559371170711657,0.19007533394187906,0.21595204955223699,0.26128394989665965,0.325425983768464,0.3287108139057577,0.20529089785596713,0.22120544801245529,0.27036922718133144,0.334268906912017,0.3358534555665495,0.2355499486728795,0.27550281590715614,0.33840984064562696,0.24457231653435246,0.2726661545491998,0.3357043689025435,0.256094711214974,0.22281821061629875,0.3363971563351245,0.15311202231428273,0.15263299663882166,0.15438293062589145,0.15048103352914724,0.1479807320854615,0.15385949804301655,0.163928975697185,0.15998565090704409,0.14349746541479771,0.1500003424594534,0.17020468135081387,0.18424981058667503,0.15260005767891419,0.17846333392885336,0.20141717301841666,0.14807553099398385,0.16717173070153477,0.21677297958361294,0.14652409166733854,0.12532469992828582,0.10029636379404883,0.07899722000475877,0.08153468334999676,0.09815900024493908,0.10817874803725706,0.10299817078245518,0.08207249972152686,0.06506030188791634,0.07337785077811222,0.09961555410740233,0.09509617554956805,0.07473841518545045,0.09869391732324789,0.09251032892039887,0.06560627619059883,0.09127120678812627,0.12958736024122053,0.07103743755518109
c510,0.3634383106097415,0.28482903586986585,0.24453784106712204,0.20654637743863202,0.15981390401656315,0.31862829156149103,0.2738141719827487,0.3351300102130158,0.1730119942279927,0.16703878420156187,0.30211044405616755,0.19673391171103144,0.18845793629099358,0.2717755317388428,0.2243417055736946,0.1804917651347486,0.30938390601721355,0.31637783436374967,0.23624604855730832,0.11305382816333089,0.14183304625796944,0.13563554491846141,0.11689252924443085,0.08106307665455588,0.1215903849397058,0.1459434953886527,0.17096804961965145,0.11808488209273052,0.09801209070439693,0.15893304224175892,0.12648027933701295,0.09735672061335829,0.15354794265286625,0.12408673714756338,0.10357686469350397,0.14950791568697147,0.16111045958848302,0.11337940897582331,0.1775036118718224,0.20127578329008655,0.19894617836978123,0.3052443386492553,0.3235560866820476,0.18925589336617227,0.20748154714973102,0.23202393189429096,0.3105935099082827,0.30780998840358514,0.23141822676612234,0.3107079519092465,0.32650266009425216,0.23962277825985384,0.2938069604715009,0.3191196605269696,0.26146512038356656,0.24255649609977706,0.30576692283636675,0.22129842371165567,0.22695691941585308,0.23391740232086675,0.2905055947713267,0.29682918549249665,0.23180067049687492,0.2350708975787621,0.25007019665005104,0.29452055783532227,0.31695229712537815,0.24602257565902752,0.2521511455988985,0.29207525860441846,0.24481269396962813,0.27753116877994993,0.3017862227724506,0.25819837080803054,0.2505146377394942,0.30069887893610814,0.1380713960909427,0.122292009569976,0.14277917954575026,0.09415510205087234,0.08930629417407626,0.13898413104597016,0.12710597281891783,0.11111369166273738,0.08998921455569078,0.08927322692745927,0.11705292043694107,0.09919060155568644,0.0871365576908102,0.11593189870202297,0.10716546915381611,0.08707491594296254,0.11008904957394396,0.12396087222634194,0.09006046219481728
c511,0.2120385315373221,0.22554111704170607,0.23029677955372338,0.19088000724873452,0.12626837935295823,0.20651405508049772,0.2256605610667405,0.2201050911136076,0.13307361601149414,0.10073210797416007,0.3174871126746311,0.21582459339937288,0.17975123807173102,0.24213710782684775,0.2164565811854927,0.14443381840810554,0.25727336670699463,0.3069519589514787,0.17817071748261923,0.1411432502254366,0.10834815670245497,0.20268761512248534,0.18024947428449267,0.14050222602974466,0.14823875244529036,0.1680650124782024,0.19057026398653262,0.142800618083112,0.12436348843782812,0.17476859621214727,0.19565793370232928,0.17546350271580086,0.1941978563985077,0.18267669924948424,0.1387107832516247,0.21109989080118657,0.18056963834271605,0.16524789849796706,0.18619972199173154,0.15679574063687043,0.2595061657256853,0.31423792036324444,0.3766397450264491,0.18066674140592143,0.21109779327247855,0.27388260907989925,0.3589209255315108,0.3936329614169159,0.21899036187831344,0.24569070034581156,0.31471532720775036,0.21671847880668377,0.25564007937854394,0.361570110212681,0.22164498746174827,0.2172197157831735,0.3385143205328027,0.1912075947484475,0.19478218814599751,0.20547743761693266,0.2234146308776581,0.2098840468520738,0.17718103639950217,0.1899275663856419,0.20551388868052411,0.219023558389163,0.20378828045765762,0.21229249666296568,0.2256214433885132,0.2213203597825106,0.20174732537216425,0.2267062853384165,0.2141387134580809,0.19838037641792305,0.21125229546681928,0.2080616400075308,0.17344698722606172,0.1582202645829503,0.12910029368382134,0.10466820875533195,0.08225786379624665,0.17632485028832517,0.16716904857382375,0.12580280546987174,0.09380504218455246,0.07886850579599874,0.1611594689346378,0.15623835471894523,0.11372100463799452,0.1672451900878054,0.15132483025897334,0.09529940424369979,0.163323287550525,0.15222168303939324,0.10256868099274415
c512,0.256416160534388,0.1689747907507468,0.27388043025560327,0.1858802866767337,0.13548566303833492,0.2659618821839471,0.3700128908988471,0.2398078496628148,0.1516999485820683,0.11616766330725022,0.22097351909454468,0.1776994107287506,0.15188997443957228,0.2962812226770435,0.1919651095828751,0.12727721954125196,0.3215226901643797,0.2460962634272718,0.180348746037332,0.11971966311549587,0.07205114737067887,0.12460188655672261,0.09181646493794265,0.057829021120661774,0.12127958895890163,0.09258863416572652,0.0920562439650616,0.07320507028737541,0.048578156099955555,0.0924062575202855,0.11272594222205673,0.08534019936395137,0.1428833582534,0.12113380879008184,0.07068003823543316,0.1660920218813385,0.14325890568694227,0.08119001182222765,0.13859169540989671,0.07514830542477345,0.13608787178992857,0.33782683620668214,0.3586434339771443,0.14060878250056894,0.11191943158982577,0.09729713611950547,0.35926080362165264,0.35796292582813216,0.11050538575752923,0.12497714077866433,0.3553981740243182,0.18807243539657872,0.1299046285566523,0.36731642227369726,0.2414613755370136,0.24790156646340128,0.36446621131574863,0.1489487138909422,0.10699798955397478,0.16723258055872514,0.25630251404232973,0.22896203611004978,0.1504541238238187,0.13788224217732353,0.13348670234273918,0.24170955370575373,0.22685384894481395,0.10971339880113212,0.12361407323086421,0.24517715105111368,0.17453111049940392,0.13855780230003426,0.2370558682255089,0.20082936180769517,0.23050484082583603,0.23043664861089444,0.167840724215273,0.1451074698717742,0.10535297188401177,0.0780411541564185,0.07565174193391669,0.16861779592715584,0.14397156553563809,0.11458424908230415,0.07315013916286961,0.07928548449739445,0.12911558316428087,0.11840929256618289,0.07374976319956246,0.12042578339124223,0.12107343138689261,0.07032100773912926,0.1103439916752674,0.1195568820484025,0.06947278370459661
c513,0.3184804219414937,0.5984583812169827,0.43591458506409425,0.15277598448239443,0.10749363210722467,0.2591512010791368,0.6183561503889415,0.48731173271282935,0.18688281113827768,0.13707566500383583,0.43033270478791535,0.33334655108044003,0.14558166454739147,0.3828955870014626,0.43490847696119544,0.18724629327224354,0.23149989249992184,0.18269151377565557,0.18042262391021058,0.12534018712038014,0.1099356379041757,0.18761090458237586,0.1795622694284556,0.15558670142166234,0.139654401589535,0.10246360524810905,0.1832906506313,0.2021960190584444,0.16410500816133872,0.1596984678658598,0.19791168958531868,0.17992151316791435,0.17895178886979213,0.1938760705996727,0.17889096955300246,0.18554021872040316,0.17935019315203454,0.1517704525142081,0.19463391878079256,0.2114940761292825,0.3405485167563353,0.38053246649410233,0.37910700724691654,0.20417345561254024,0.19131516777656524,0.2908083321263006,0.3639585068679918,0.36890471881516773,0.29479278756829064,0.36779978580258216,0.3801079785782096,0.28867555087980623,0.32292240573704845,0.37595355610391373,0.3177060811134044,0.35284220461164234,0.3668783215878542,0.144313173960711,0.15276553169179027,0.17815440604676855,0.20368227239549785,0.21498777015814358,0.15061860695120374,0.15572142370727,0.18709196302444417,0.19552103048800618,0.20144881864617403,0.18175446777934107,0.17924720570082642,0.19837616911534905,0.18959003067287536,0.18462576743711234,0.19087088609944372,0.18625512132715616,0.18959269536003281,0.20157527438361322,0.09097397627723801,0.08431036581808236,0.07676871588947627,0.07508747068179665,0.08073436659530096,0.09815752625773883,0.09300272164274925,0.0870838318469134,0.07744199854511905,0.08213308078573842,0.0940777526111373,0.07984255991339692,0.0775338497436718,0.10068517724543741,0.08641019091469833,0.07560020373749157,0.09251554883685786,0.08730546390004469,0.08218136079043396
c514,0.23997351078963408,0.2115880457617821,0.2531119351957032,0.16671220027399913,0.20190133396416646,0.2165367367646268,0.21008746442760623,0.23262291821153766,0.20096226238695175,0.16821328294079899,0.21319335606042703,0.21721874931967292,0.19921244581087455,0.23510678638494292,0.20590654609745057,0.19935487558379422,0.2659021320146592,0.2531978781390632,0.2294714800777536,0.1515398281611986,0.15100181551381459,0.1827061267212973,0.12122245624151902,0.12018773469142849,0.13739814049660506,0.13994634976605133,0.17650745990610564,0.14292041925946966,0.10119578874265624,0.17335331222842879,0.1912901563327491,0.12462838143014593,0.17517643357756302,0.1754443011220738,0.13669853563973197,0.1897716853887444,0.177345299063356,0.13010094689964297,0.15030223184183938,0.18575988630893683,0.26895479249781656,0.348736079438793,0.33933588839588014,0.14752053749395647,0.18917092317586215,0.26171103629140896,0.3200239495191415,0.3133603646581787,0.23576232833063573,0.29754347419322685,0.3567964799790248,0.23724008436846658,0.26850029960447397,0.33451026385633265,0.24288740964112104,0.27040132607606504,0.34845224951704834,0.14279944977219203,0.17935169227096298,0.23684228195818305,0.24280856230111317,0.24608620621034766,0.1502245147983301,0.19195150101712258,0.24968575828203862,0.25908124198462124,0.24079661483622475,0.20973792267080213,0.23864396129862875,0.2360511784683425,0.21318121086363417,0.25902740402402263,0.23935795003003354,0.20898332045384993,0.21745911359132367,0.2323175229061214,0.10992116118505775,0.11908403568713122,0.09265269352101374,0.07446935353093033,0.07890763031234325,0.12177685553184367,0.13036311833543432,0.0957806816358601,0.08102551665173705,0.09205252650767325,0.10375130807918892,0.09126490596143874,0.07278818094865483,0.10688174486861682,0.10063560850634902,0.08112330149037245,0.10396290218900099,0.10075795371124048,0.07327454415305591
c515,0.29202455712730385,0.22984951545881407,0.26153532198117224,0.2299872987340624,0.2152188592315629,0.46402491611765817,0.3031601640251855,0.22870193909362596,0.1568006436334005,0.1848689637284136,0.24892065992878443,0.2234413428069596,0.18717089630051514,0.3750446549698431,0.2459764881139483,0.1813501181465675,0.3511579630977875,0.2935310792418638,0.25053994812400054,0.11497066655141813,0.14085468368686274,0.21299607255500141,0.23257721698220168,0.21899201224806603,0.11461683788183534,0.12387499271780206,0.13659205098651825,0.21085665075880064,0.19948686396438065,0.1708779493895551,0.22580853301781662,0.21770314166214835,0.16676944047702286,0.14479489158167042,0.18872943734004358,0.17972999853253396,0.1882025686771856,0.20314651967283526,0.17623740198944335,0.2145406692920947,0.2515107356093199,0.27932144573955386,0.26345416146287676,0.18077106188166714,0.18017365106347424,0.1689944729037824,0.30175338752804504,0.2636553507700311,0.2568036264710749,0.2713440360756684,0.30870726079401256,0.25886570803248876,0.2927438959023488,0.2998675562694993,0.2665509662471586,0.2733656305999753,0.27648713969849253,0.17917127081656425,0.19671016399981414,0.21809527797782408,0.27226986911202233,0.30460459151334085,0.17841516256315523,0.1882660161321057,0.19792637883335262,0.2761875669903019,0.29525582330247263,0.21932277129311917,0.22410494041158172,0.25845604597943345,0.21633774851179743,0.2585517320543723,0.2761369009587474,0.21344964726509555,0.2276930987004087,0.2746573506277632,0.14931820359690953,0.11859610200404085,0.104862994763232,0.09529853741023167,0.1011084207073691,0.1528572170974717,0.1237514135538759,0.16068102369049334,0.09243204495654617,0.10898474184118394,0.11210339071252853,0.11219214854062182,0.09415198725111505,0.11458718473740452,0.1110558483877492,0.09694575563868238,0.10942157141496048,0.10871258774415336,0.10354212191962861
c516,0.2906868998871509,0.18951349960894076,0.20234079647761538,0.21002642623522347,0.12836975581278454,0.2726717730396532,0.2134820805494596,0.22610087829060632,0.14059877775909171,0.08904388034452182,0.18605946084361322,0.18673330504711258,0.147037248877219,0.20470133433247487,0.22806093143505007,0.10140082301946902,0.20386835883308901,0.1980322081771283,0.10293640891436222,0.17772738149136827,0.2007119546586731,0.20806860352890685,0.24425438895939866,0.19463412245715525,0.1834039716527447,0.20509594950646726,0.2005828679530407,0.21601215244691252,0.18527088433958525,0.20216219216750853,0.21732031309147878,0.21363244506406306,0.20523920047782204,0.2247737239934732,0.1912047521456404,0.19766937575845953,0.18208287889936298,0.18992133134875996,0.34526284231474225,0.3773761833428641,0.3511080023564164,0.3371743303413653,0.3807861005895395,0.32953304610634976,0.36113519791293225,0.30437032934813774,0.4081879182908507,0.4177049463784088,0.3932636782014364,0.34491017515165706,0.38459348786019554,0.37868360798632633,0.3052138426463848,0.4452697496073239,0.40160589761731746,0.351503757497063,0.4349145754274472,0.14502735680182852,0.15217645261136975,0.16561262956405298,0.1716439357657893,0.14841732751547637,0.14491195547923244,0.15606669206565854,0.1609171064564121,0.14750246380137708,0.14381097725215622,0.15036604121900574,0.1769703981744523,0.1602665125077141,0.15229331359021428,0.18515908249652752,0.14318504013782207,0.14444316448631553,0.15789000755849472,0.14825151330324357,0.08239231780311408,0.07162708531142703,0.0746001873681032,0.07650989225913368,0.0806640537989414,0.0839369084437957,0.07512019784872932,0.09355465569454059,0.06088604201243368,0.06947481680949277,0.06806666757570715,0.08421365756928338,0.06972578125545524,0.0711628858823746,0.09344431097460908,0.05454802267230288,0.06497602287174352,0.09035377902195817,0.05811194255075866
