,Delta-Fp1,Delta-F7,Delta-T7,Delta-P7,Delta-O1,Delta-Fp2,Delta-F8,Delta-T8,Delta-P8,Delta-O2,Delta-F3,Delta-C3,Delta-P3,Delta-F4,Delta-C4,Delta-P4,Delta-Fz,Delta-Cz,Delta-Pz,Theta-Fp1,Theta-F7,Theta-T7,Theta-P7,Theta-O1,Theta-Fp2,Theta-F8,Theta-T8,Theta-P8,Theta-O2,Theta-F3,Theta-C3,Theta-P3,Theta-F4,Theta-C4,Theta-P4,Theta-Fz,Theta-Cz,Theta-Pz,Alpha-Fp1,Alpha-F7,Alpha-T7,Alpha-P7,Alpha-O1,Alpha-Fp2,Alpha-F8,Alpha-T8,Alpha-P8,Alpha-O2,Alpha-F3,Alpha-C3,Alpha-P3,Alpha-F4,Alpha-C4,Alpha-P4,Alpha-Fz,Alpha-Cz,Alpha-Pz,Beta-Fp1,Beta-F7,Beta-T7,Beta-P7,Beta-O1,Beta-Fp2,Beta-F8,Beta-T8,Beta-P8,Beta-O2,Beta-F3,Beta-C3,Beta-P3,Beta-F4,Beta-C4,Beta-P4,Beta-Fz,Beta-Cz,Beta-Pz,Gamma-Fp1,Gamma-F7,Gamma-T7,Gamma-P7,Gamma-O1,Gamma-Fp2,Gamma-F8,Gamma-T8,Gamma-P8,Gamma-O2,Gamma-F3,Gamma-C3,Gamma-P3,Gamma-F4,Gamma-C4,Gamma-P4,Gamma-Fz,Gamma-Cz,Gamma-Pz
c109,0.5117123820969088,0.6131653061817065,0.670627596632122,0.3890625487876139,0.6161323387302645,0.4793196780536117,0.5283067186223787,0.3467482248270943,0.5289939951928081,0.4467287130741369,0.2641703850165879,0.17497681901111165,0.3879119638755461,0.3331321180795654,0.15280426974763275,0.20252131165741333,0.5783203537719207,0.5704071984687102,0.4901672575682056,0.16689741649806078,0.1915681870932925,0.17351350114603362,0.14984335501020682,0.20402059633227768,0.19032615779364165,0.17655479027442536,0.13353683050868517,0.20372371149475368,0.1669121592286645,0.10570990490206873,0.06793684110398099,0.14908343839747396,0.11960221642995714,0.06457324710531315,0.07636351074394322,0.20842694576691093,0.21677156770724115,0.18090292641070738,0.13655521941668122,0.1351541721965212,0.15766828161775412,0.15303119110226063,0.14842227252360524,0.17849953364549842,0.24042309210978596,0.28705513519448206,0.20502314795660628,0.23648495461050534,0.36446668504662566,0.39939180191632084,0.29697695902721455,0.3299131976716489,0.4105840108739921,0.39174380693130706,0.1683750008730377,0.1846156127671464,0.24123426838444553,0.2601597989724761,0.22842812484925595,0.20793090946701268,0.22069216399588812,0.2142793930995597,0.23071350237598912,0.20509705978185408,0.22402574335764888,0.2147073687834476,0.2255261697223951,0.21050518995664275,0.21931589102163732,0.2188806409973403,0.22292693216288623,0.21448080687231086,0.21877173364526067,0.20750508981711366,0.20621434553660822,0.2189001324508736,0.21914015284542177,0.20370901095943184,0.1783001106045963,0.22322308920382497,0.19453472145022668,0.18963027527954965,0.12887495839036045,0.12410226983183834,0.14953614230763232,0.1478430827329709,0.07996148383811794,0.0689203811110156,0.10518309151649542,0.0926632298293779,0.06438850944331603,0.06956326776745247,0.18240109955072145,0.16318710827009103,0.12739801919419072
c110,0.630126045064991,0.6014726757077101,0.5573668042288944,0.507668783702108,0.4613664486982122,0.442276929827797,0.4799757510921253,0.5154103546615298,0.471357822433834,0.5021316700981121,0.476990122255698,0.6002027349707912,0.4934041390131831,0.5871768058055945,0.5637719634915695,0.5860431164743203,0.42620389799606273,0.43401905601000323,0.484234135662821,0.1592966871915967,0.15763387299419776,0.24742078732284595,0.28139206353734386,0.24575409836173065,0.22894113202591,0.2949919580757655,0.28903826380248737,0.2609177840719704,0.2236357998523729,0.31299096581725105,0.2622356963497513,0.2631555540578457,0.2346855924043542,0.28037180239306697,0.25865811927461,0.2636748072521186,0.2535744734288752,0.2524374812479179,0.14498799285871955,0.1339196926349966,0.18970221540023816,0.19570395092417175,0.22611343831091013,0.2334156557726694,0.22833731634371968,0.21388371447561608,0.2245753413699128,0.21949631191205665,0.24229748810444446,0.2346215524935369,0.23259206424812848,0.2231096793364122,0.24108447054538942,0.2260197088229759,0.2465468603744274,0.22427256124026693,0.21741333428646312,0.2202733372746503,0.21819105459925053,0.20003163389905432,0.2034479282232048,0.21863351664475364,0.233396943946284,0.1882951283153191,0.18958588688455688,0.22767242549467984,0.2543241988069049,0.17329622514150303,0.16205262957891306,0.2157521787005462,0.2000614264773279,0.16643964864917926,0.17879890490465322,0.20813407664692896,0.25475491143969214,0.2499513954252568,0.1500895554808462,0.17186696202903867,0.09999967915485453,0.10006068306980509,0.09491327188339521,0.09695013130669468,0.08904608198896824,0.09695791136120224,0.08706344525871226,0.09178477825684556,0.07666826565110847,0.07582826007629177,0.08461151130155041,0.08414145592786726,0.07344997985533094,0.0787930153575496,0.0786076223287949,0.08575093480317032,0.08946619554827899
c111,0.5621251259908112,0.7013819996068735,0.6195411340489538,0.7240574058181052,0.5157712952245175,0.5734227943866952,0.4485960282663618,0.5694685626459524,0.4420704717411953,0.4861959305570668,0.33423011420713455,0.39209418299461096,0.3699728650877098,0.4441925196969039,0.2987338358858619,0.33900903580906017,0.5222261684010353,0.46965983357137037,0.39136591226834705,0.19956891787618797,0.151826384617457,0.18062202735269264,0.14742091408027502,0.20628332007954328,0.1890743256997587,0.17062378029824435,0.17824411908303053,0.18724413612361374,0.19519091632538277,0.1829800073132969,0.18232620938856114,0.18796069380714217,0.1883464099810309,0.1786046511886049,0.17835285755185776,0.20705652811647024,0.2139519584113004,0.1974118600641078,0.1377789919864218,0.14831373169360298,0.18674944859486764,0.1827639410325564,0.18505307599686896,0.20346800741358953,0.25139598535296953,0.23798074430679667,0.22750509091527735,0.2394378824689457,0.3505993034835654,0.31875752136970315,0.310570465991711,0.26916805793323223,0.3619362669752456,0.3427024927191752,0.20761922220984122,0.23780553158773424,0.2956640031158491,0.2542593183608949,0.22831959832308996,0.20643230196957524,0.22573001187289232,0.22825662278758796,0.22164431405443283,0.19355072591658715,0.20317596250978068,0.20454875987711327,0.21002602633221498,0.1647242757942284,0.18038879035161265,0.18572034847560184,0.207451127498804,0.16544055718307513,0.17477523248303842,0.20975349705456728,0.19716600541462864,0.18988459020667847,0.19138720118041844,0.1654939954222782,0.1572425816095772,0.14610122552414717,0.16461184157938424,0.1457125230444981,0.14866149541552326,0.1275394082197202,0.1567478154413574,0.12881873733604587,0.08037914284418432,0.09597707051216725,0.0994397866593499,0.11560721642803848,0.07551922662997936,0.08481487060425197,0.1485662429311929,0.13120025480817907,0.10534791912188476
c112,0.343563512207073,0.31992266769125216,0.79223036842328,0.8423135869682356,0.8018471219261556,0.8115941594533617,0.8211119328845604,0.8229380096939067,0.8197526103603527,0.8164730285689579,0.7986177247300894,0.7883068031588555,0.8021573460358477,0.8010860991115415,0.7295910428301278,0.739927433940913,0.7966598792949686,0.8152658543364245,0.8050041532820631,0.06366610741997689,0.05284221296161195,0.14360351148400222,0.12733891247111215,0.14120912456401105,0.13591937683526478,0.14863180178484453,0.14093588906183283,0.14701233844467446,0.146735352279516,0.14012364363623198,0.1368701397276631,0.14504024363125315,0.14336062128982388,0.12643605097178187,0.1327456666552516,0.14098571545871483,0.15533145680911944,0.1484523342973009,0.04160343742683503,0.030563471477904152,0.09191744222596701,0.08290769587620234,0.09290030554229457,0.08641684503303249,0.10699133241684469,0.1059408727920925,0.10926947922656219,0.10095119915027864,0.13574612759287433,0.150286620982301,0.12895939100869336,0.13002378114950458,0.1890246998878521,0.18040259953217425,0.0940265917088026,0.10474395404924053,0.12628199037966437,0.28200265916433287,0.2873446512187458,0.14474340322253107,0.14277645192311894,0.1583543197085723,0.1622053187290224,0.13380944290843874,0.1498592152590377,0.14454953664810105,0.15164177222081254,0.16796560146337308,0.180209979585718,0.15982464133443858,0.16813863714137198,0.2139947969973925,0.2124910432857493,0.16521850582013778,0.14812496495710084,0.15687203250900164,0.3023236249227862,0.31526675058793124,0.21485458806315927,0.21109866290969123,0.21541758975058928,0.22138482281871152,0.16809625039816928,0.1731280310744994,0.17218315022822236,0.18883821736705073,0.13968482796146364,0.12941992744332548,0.1491241775780958,0.1477676908528985,0.11053052633501198,0.11314388909288388,0.22093783834002187,0.18080395517177134,0.15162647755599232
c113,0.6310978884665356,0.6166275938249816,0.6590125685427869,0.5759500193411269,0.5275441224888735,0.522003692361696,0.5439571276365356,0.4876835100897278,0.47991103071067714,0.4980321096035639,0.405151291912936,0.39020055912521434,0.41753057252765036,0.4451487793962481,0.2782664087601777,0.2967892486312222,0.513059987152145,0.49897369586674806,0.45442647730635954,0.1796574694565524,0.19162121735102358,0.1756979724695382,0.15519739802536756,0.22479932499758476,0.1950445015528424,0.1681468706136143,0.15430877033867962,0.191459040845499,0.17583335930729074,0.14134404902998296,0.13195293080451798,0.1500242802675426,0.15533317631325605,0.10313847309495162,0.104392070143341,0.24077304185051074,0.22541880980752543,0.16380170504340913,0.13753778634781472,0.1372450956014084,0.13589578425802906,0.11987101739443148,0.15021004447516517,0.14314038264498427,0.1635159734428509,0.15008907855305784,0.1705628819614929,0.16158492067631028,0.21441530835909722,0.22899679028729958,0.20404257860258093,0.19328456410158817,0.26922912661424014,0.26650204731451094,0.1589433369528239,0.16924899395183574,0.19683914120220217,0.2437699884951602,0.23197299680251435,0.20012721104711084,0.20382015764571473,0.20484248598076216,0.22313970040261874,0.25556321829292394,0.2615669612018008,0.256269120507455,0.25852845166546073,0.2898330944642907,0.29626615294320935,0.2889454420095049,0.28441890729442765,0.31572916109421356,0.31847511368602355,0.19805117061929248,0.21319739989004993,0.26980992985363533,0.18886943470701895,0.18948444063380007,0.18011312928571532,0.22869603569313035,0.20471193405799382,0.21195531233196085,0.17325416535151142,0.20553896160470797,0.17231796886451337,0.18375633926001983,0.14416462082216824,0.13597591462745523,0.14863592196668002,0.15690925098883032,0.1113717748295925,0.10809260723687353,0.1927939242782662,0.18195877822862452,0.15428918015723736
c114,0.26183361943988753,0.5409761774750124,0.6309400176660045,0.5693643922158025,0.39939680919706483,0.48743222824923516,0.4406478759770228,0.39391625684630177,0.35583434141984893,0.3608461604774724,0.30251647285507316,0.2672093780828188,0.2797259460245296,0.2882404159210244,0.22855789810759197,0.24519496337809543,0.3858819935500678,0.38701840737505316,0.2969414860272647,0.09445117308730891,0.12915449997512327,0.16177219444144372,0.162256029825156,0.20647787259802708,0.20038466267974184,0.1845423056491751,0.1918240116797144,0.20147300990640876,0.20552154466678962,0.1802776880122632,0.18211917161378935,0.16807271687773576,0.18116482535930414,0.1683040976342582,0.1749934235656737,0.24611524110539754,0.26078355378253215,0.1963319152654417,0.07019087663240255,0.100991492898478,0.12493852404090186,0.14642462383669036,0.16817238120396583,0.1498147660248855,0.20501679273616655,0.22724125244518023,0.21284516984475557,0.20446520092363288,0.3073284614216795,0.33057649067206474,0.28349077041497855,0.26675650143398083,0.35068698844654334,0.34065788617018083,0.17574881605652895,0.20150462207390435,0.27671203406560974,0.3413530485392351,0.307449871067136,0.2697165485012979,0.28244869585214794,0.28393673765239774,0.28347888957385536,0.2693998367745871,0.2555860279774198,0.2899314286799164,0.29092267448041587,0.22060724600930073,0.20156539032855703,0.2623387223480703,0.2697842237840009,0.2026336889888677,0.2035909478625983,0.2514168248315257,0.24923986956211036,0.24496025993038884,0.2747161685324006,0.239581929238574,0.21152507665287473,0.1958401299877204,0.19061248269384726,0.1912897836823305,0.1593030323108472,0.14704270059140387,0.14544504749436873,0.14928963339031381,0.10242168525766135,0.09084519029402047,0.11194499545256052,0.11618260761139945,0.07953257838819369,0.08131354830277857,0.18458677463503323,0.15088664041733235,0.11053004305179931
c115,0.6852804862554581,0.6818461233465107,0.7267499676843218,0.5483452791125426,0.6143947253499576,0.47677353712129683,0.4441370880627824,0.3697469352083229,0.4326855077822233,0.38239376522603047,0.2910351357155218,0.23866170060217676,0.3250417550730867,0.3102011508124656,0.2373157887515112,0.22576029935543648,0.4773284410697262,0.4145736409743866,0.36981778139069815,0.1554750009321262,0.15805762118194913,0.1618783905677882,0.19294468618340452,0.18641587150661015,0.20262406880380812,0.22941465561043758,0.22537008291840852,0.22573221652856504,0.22193507269641766,0.23462626152979313,0.22238979602830974,0.23250075442289522,0.22985353018158083,0.22507130765989575,0.21445995636544538,0.1997024998351607,0.23079448625132343,0.23033832900827775,0.14033272570356561,0.1453033791425929,0.18383245857978261,0.1858886334998184,0.17033579608063504,0.17656118324401546,0.252932534320966,0.2600120402226937,0.20880167578216463,0.2206397495157346,0.30444997202269625,0.31380391275463076,0.2612125637503399,0.26124179937605424,0.3186569591186485,0.31956188593465995,0.17152857952419992,0.19729704999573233,0.23841627398892723,0.2083451582315004,0.21383575511690128,0.18487821749007224,0.20063652991761866,0.21622501795029633,0.222148401846393,0.18255271199789067,0.1834742685631937,0.21810153080823827,0.2124803183418356,0.17440753729624295,0.17336239997792424,0.19988906478555546,0.19951771831795706,0.17798775412381543,0.18047656763892686,0.2347428579746665,0.21660384879341407,0.20850647582447313,0.19609786544873634,0.20624296311460535,0.1691264803850056,0.20225712717118027,0.19562492555535016,0.20791411667810084,0.15234120333832107,0.15780353542988035,0.17707168826549557,0.17972998514131894,0.12085988623083423,0.12507051866099245,0.14689859094212188,0.15222089415956674,0.11172664878417432,0.11416485743107549,0.19896455926565507,0.18602593398519138,0.15952616109985074
c119,0.8111743605947623,0.6475428363012479,0.7013040322452403,0.7824193823371798,0.5000770172376746,0.744247329072255,0.5521839521336291,0.6752634197929954,0.5090962776087128,0.5538948138065203,0.5014494058238123,0.41752785773227485,0.462958449130413,0.4831593501377314,0.3182689735576273,0.38275367288612044,0.7267236403137256,0.6187744445583344,0.48787601092299576,0.13636867360193344,0.16005638588000398,0.1564604499162106,0.13749639048487422,0.13555999237953148,0.147338804441359,0.15490843718276248,0.1435614875200386,0.12789046825716727,0.12575147275011403,0.14382677623790202,0.14057118960164505,0.12674437859172233,0.13273056392645374,0.12575094205715504,0.1368646010970008,0.14174428924666585,0.1452672698364547,0.12942037734433925,0.11377504141437733,0.13885422467438333,0.16092723262900874,0.12932640143788338,0.12622865230107755,0.15459150001993674,0.2275419791281813,0.22052887899380738,0.2670690662815447,0.2737818360007463,0.27694167001682085,0.33275687812352395,0.2971710702442171,0.30117686445812814,0.3637061006773523,0.3425636622073747,0.14606062873573397,0.22413907557304863,0.29635143116699353,0.17138731821206682,0.22051190071133112,0.20855349634538656,0.17700255413729643,0.27383459454995984,0.21269442416759046,0.22449315195923294,0.20001667534641446,0.23602949801970227,0.21841275293697388,0.2110404508633937,0.18847396960566126,0.22025235321568223,0.20710553307636312,0.18643252993099899,0.1880874026337163,0.22210065042828606,0.21821934712082583,0.21042266708720464,0.16070575016448768,0.18814961634084518,0.15230259211976208,0.16644113079364875,0.2171231682066776,0.1389389022703071,0.11619186838097138,0.09634353528509948,0.10360127868469889,0.09314579899140353,0.09259727224285699,0.07471407461023036,0.08741536331147856,0.08437045504478152,0.068281887650708,0.07433201330778501,0.1596942282034535,0.11624058830523432,0.08680599847419632
c124,0.8006895609988209,0.817990964285862,0.7683239006339295,0.7279900714937634,0.7672483121513415,0.7220173496543253,0.7487944636306822,0.7616224367810618,0.767835663211728,0.7555603012336745,0.7702683923481093,0.749782914602799,0.631095414428321,0.6870907528103878,0.7071366622401883,0.6729579355288586,0.6155498565241806,0.5594113591224398,0.5384979406901412,0.16583721755768913,0.15028272297877193,0.16775357327822094,0.16793534452323733,0.1509999120478708,0.15510522072558777,0.1698583970153382,0.17623756572025454,0.18233305101008312,0.1876573045032505,0.1746486155266872,0.1719218194793459,0.19485026420702217,0.18310593732073674,0.18809043181103108,0.17972445641487764,0.18631122789952623,0.17722021547644223,0.17052840071754632,0.10684650385582833,0.09349110500210883,0.1268335895317169,0.11526715453867377,0.1038208696142359,0.11518199485244691,0.14989314353900215,0.13881189314826817,0.1282341454599169,0.1405984417854784,0.1372405992187237,0.16401730174365173,0.22394286258167317,0.19424152653797655,0.17872549236367452,0.21141597514886554,0.2493074557899384,0.26941124208408124,0.2809258720816571,0.13472510855234202,0.11836646133117563,0.15257025926693568,0.1808910524044983,0.1434385624387461,0.18142003646205965,0.168015987361315,0.14866272090967514,0.14847569792126789,0.13711468903632645,0.14204588495914536,0.15052825082937762,0.15435250124174105,0.15411292315385205,0.14725820769349407,0.15507707893409864,0.157876397926274,0.1668561333325919,0.1749967509690311,0.16685086817391495,0.18364333940848607,0.14430588804419328,0.1779003178170043,0.19063853249208473,0.19630663028778378,0.14644770976438332,0.1343455352621171,0.13998998935039178,0.13853991870930743,0.14364113241650298,0.12681636923155237,0.10226650548104789,0.11373672314528678,0.12134768782659694,0.10923971565957388,0.09419753447716533,0.09126858525445505,0.08798238067284041
c126,0.7204251184631366,0.8287869290724057,0.7623443418969462,0.773226618971038,0.7431627281617681,0.7461724609904999,0.7321511218519244,0.4815474100545127,0.597793352408376,0.6801047671578373,0.6397617152894245,0.6004994541553131,0.35756835501114587,0.4602866959905645,0.5241407690095411,0.48409516270007874,0.4317496463247321,0.2428766364209366,0.311312001456817,0.132910062151532,0.12611189897423528,0.07530599632294206,0.06244755793396072,0.07326959710645513,0.06665905551644496,0.10856120932522274,0.08483724596838484,0.1021884630124609,0.12435277511199147,0.10748202699249433,0.09710698877638178,0.11457188865838822,0.12572559591102,0.1263948613187974,0.1246161923702035,0.14296993692621957,0.14653714598660336,0.1410251837926696,0.10069682831394262,0.09591619159997354,0.06567437161544301,0.05366721724364251,0.06429408208166548,0.05995780694323404,0.10501301169469823,0.14051448274444173,0.13943276793491155,0.12423313601364983,0.15570620327926635,0.18780283424671368,0.24235094987509748,0.2375933681796561,0.22018173766046306,0.2526333822518063,0.3220313632667855,0.3732558776189949,0.3399646402353916,0.15780318357376913,0.12266651758477108,0.10372645922075273,0.0860550634242316,0.10289646696336974,0.1004232830126306,0.14592799010754642,0.1331590430641073,0.1412168380335407,0.14474584119470787,0.14813725757032956,0.14274145123521784,0.15064860512896966,0.15481453807918508,0.15369456408441576,0.15790514069994163,0.16575662000122993,0.1632977853387169,0.17401387626406165,0.18269366405212148,0.16118889869196726,0.14684831688211739,0.11788147169188108,0.12427734292848053,0.12226892508763167,0.15968172240511241,0.16999969338892365,0.15353373804401765,0.13759385048081993,0.11661302523531104,0.1074646869905505,0.1439929022333951,0.11983823150415716,0.10961242479176506,0.09771784587211567,0.09170540842976561,0.07580611597324481,0.08228352100409149
