,Delta-Fp1,Delta-F7,Delta-T7,Delta-P7,Delta-O1,Delta-Fp2,Delta-F8,Delta-T8,Delta-P8,Delta-O2,Delta-F3,Delta-C3,Delta-P3,Delta-F4,Delta-C4,Delta-P4,Delta-Fz,Delta-Cz,Delta-Pz,Theta-Fp1,Theta-F7,Theta-T7,Theta-P7,Theta-O1,Theta-Fp2,Theta-F8,Theta-T8,Theta-P8,Theta-O2,Theta-F3,Theta-C3,Theta-P3,Theta-F4,Theta-C4,Theta-P4,Theta-Fz,Theta-Cz,Theta-Pz,Alpha-Fp1,Alpha-F7,Alpha-T7,Alpha-P7,Alpha-O1,Alpha-Fp2,Alpha-F8,Alpha-T8,Alpha-P8,Alpha-O2,Alpha-F3,Alpha-C3,Alpha-P3,Alpha-F4,Alpha-C4,Alpha-P4,Alpha-Fz,Alpha-Cz,Alpha-Pz,Beta-Fp1,Beta-F7,Beta-T7,Beta-P7,Beta-O1,Beta-Fp2,Beta-F8,Beta-T8,Beta-P8,Beta-O2,Beta-F3,Beta-C3,Beta-P3,Beta-F4,Beta-C4,Beta-P4,Beta-Fz,Beta-Cz,Beta-Pz,Gamma-Fp1,Gamma-F7,Gamma-T7,Gamma-P7,Gamma-O1,Gamma-Fp2,Gamma-F8,Gamma-T8,Gamma-P8,Gamma-O2,Gamma-F3,Gamma-C3,Gamma-P3,Gamma-F4,Gamma-C4,Gamma-P4,Gamma-Fz,Gamma-Cz,Gamma-Pz
s01_1,0.1620942258612597,0.19487344134001824,0.14987096206567974,0.09824113870696066,0.0560018762345921,0.15206009082533772,0.19269888964830276,0.048217425696378234,0.05577974121429883,0.029602331577228084,0.22375191834284366,0.13025500982134905,0.11123049999033698,0.1663146816930536,0.12552192945702728,0.22131440882628495,0.14335673494048518,0.18610958469221786,0.014538730438476278,0.05909558050522847,0.11340738319536064,0.17832968599663224,0.23348957423759945,0.057200640428381716,0.0843212491210152,0.13980807781150476,0.06684997411763247,0.0600911903598343,0.00730327208642072,0.12999951335891016,0.17333872862687247,0.16906177706124495,0.1656665636864787,0.16982215809166526,0.21764275258570392,0.1085821933397445,0.12477862504688443,0.00718754597154435,0.05410859216236584,0.1032001368640218,0.26073558792065754,0.40012934103267794,0.09683563911593843,0.07610325949303715,0.13445736084500254,0.15380770311329076,0.13747931594079577,0.01158420005960638,0.10744800510514702,0.2987921492885573,0.3099686715623357,0.1372292206584116,0.2509329263298982,0.35525831233456745,0.0942260937898227,0.14671856895908297,0.011922331067129798,0.06641371599078971,0.111945540754881,0.1256670613854913,0.1267224128489881,0.03407779002783912,0.08414267118191707,0.11266676561765726,0.09129894854634953,0.06710109480761399,0.004397090326667203,0.13310025938941317,0.17557123666673063,0.11772375537270928,0.158179374664418,0.19036790388138827,0.15901124248992343,0.11541617864422034,0.125295780089093,0.005792437417506502,0.09687864634449697,0.07921566128055349,0.06215463681128795,0.05512434415810596,0.006630224624821968,0.04335055788125549,0.06688205989002817,0.05225284078090282,0.022017113922109494,0.0007500623651366387,0.08140774388495492,0.07892986120449635,0.040715519414859284,0.10765805298109626,0.09013124890134967,0.07164126023696912,0.0785808340449995,0.06385002862088494,0.0011734578899876146
s01_2,0.41432674354040006,0.2923898553626524,0.20440454651250328,0.14311878278602513,0.1402652219676485,0.17884066956541875,0.2599407819939961,0.23867997719174192,0.05704914215721462,0.1298262030172583,0.2439343219309847,0.15282155302113964,0.17703989125609046,0.20112150980104904,0.22470325312430386,0.1405595628383188,0.18111053095359714,0.1830549282056024,0.12774905087859337,0.11547889712404821,0.15088921787242815,0.1537760617542894,0.16464792588913837,0.048236562348581875,0.06936622159083257,0.10932160107914321,0.148717072131714,0.11962888979684023,0.040142778018174397,0.1372356520253699,0.15377992526200843,0.17889867029647963,0.16879078303058917,0.09877770364556607,0.14651394719108227,0.11870481950488931,0.11180908633194117,0.050815933680168686,0.062235721607116205,0.11030519316238999,0.18673409289741835,0.2749405738083265,0.06808833450591319,0.0499029062812704,0.06820396565446524,0.20499067485582995,0.23144702475408374,0.055408330095959836,0.08454815279002942,0.21218102724360755,0.31231982627419613,0.10813888699345434,0.11142803025428467,0.2255636201940986,0.08146313905541937,0.0910542004810658,0.0730149740646163,0.054418923565370994,0.1228862061618616,0.12079862880987736,0.12444763507235701,0.029693620306551163,0.060565854378707144,0.07743872472790984,0.10857376295332204,0.1295680584822847,0.024037933892342024,0.11631068737191548,0.18300008070465407,0.16509221723146722,0.13837268160781885,0.12391656006329832,0.15416853991375262,0.10839443290048016,0.1153122895530545,0.0446912491368791,0.1250532632671964,0.10332634955215096,0.06615781646669076,0.0685008813976393,0.009433694680611957,0.05574726048407141,0.08043231704610024,0.06823642220841555,0.08099511406135208,0.007765101153285542,0.1311453614643948,0.0897799488833269,0.07420086160751747,0.11089936537444776,0.08113683880154686,0.08141157156264978,0.10161113173992721,0.06964089547305073,0.018687725254520213
s01_3,0.11622771112314983,0.08399418736120713,0.1572196706482467,0.14696470095739508,0.05886711232538246,0.12435402679007379,0.11763636541574407,0.029615175289143827,0.01044530951587485,0.008804861040793923,0.08146914249829058,0.17733338636707227,0.14859769676657023,0.11303946902188809,0.169308669732068,0.15669411192009533,0.12913514948357335,0.04038969808010809,0.1668998391211814,0.16202686487560597,0.10702649519944114,0.18644452115100751,0.2345010978873365,0.08694155883765069,0.08994406753366681,0.17228572146910892,0.02655129898627615,0.011321076605996409,0.009026338484641768,0.1253368001851339,0.1824959185469909,0.21325692642162306,0.18996793882482876,0.15698631634358595,0.16873444796824308,0.17812328206905434,0.1246432551463476,0.18472360058385787,0.15010078769973867,0.10518413133260465,0.2755348040802042,0.4180771211337246,0.15434600391843525,0.0893337564783518,0.16885439895537616,0.038846926321859945,0.019198827498778683,0.014950859722937564,0.11156241473696753,0.32881972454708797,0.4034197774560651,0.15146115585945943,0.2426289611973189,0.3016440553774487,0.15044645272360715,0.1611371191023084,0.3453501566890316,0.18019874193038224,0.13235999729081305,0.14743552426814654,0.1337508206600711,0.054769814638637226,0.10560164619379513,0.15598963370369273,0.016160112105257522,0.007597724237833338,0.006027760383597678,0.1597175589169168,0.18510881586802783,0.15194884940983508,0.22779754465334542,0.2173708993706573,0.1402321284117495,0.20123962436309392,0.1671804437526986,0.16034844451646862,0.10456014643516029,0.09877225993811767,0.0663991809971742,0.05517805566509451,0.011752414870572735,0.049962654182069494,0.07933990666057295,0.0033787023995745053,0.0013103294827713037,0.0010700466998832007,0.08828860577671585,0.07853465388496782,0.061984538469228134,0.13136377777290623,0.09951628490360086,0.048542161701808285,0.12430912450095817,0.08033879500193929,0.06047079887230035
s01_4,0.2868115293543616,0.21539930337390778,0.19662708256550254,0.30389222141740363,0.21092532402618375,0.06751892886346096,0.16818127569255711,0.20770591566704594,0.3306434835341813,0.13610841795102213,0.2067550984543878,0.29613638480657956,0.3186083874594955,0.23104106175000064,0.2013583910569214,0.162097477010656,0.16866466495999866,0.08372729500232079,0.21921103128241487,0.18841823612587377,0.3043417191651765,0.13834240826885008,0.2559867457880919,0.1409348188811102,0.03587112144590646,0.14637660535775565,0.1405027531501174,0.32088258060605684,0.08228762775745366,0.25906261188472046,0.22884744889411257,0.23678461330306355,0.30942092650190195,0.15289546107317295,0.09668542160528486,0.18742005232017767,0.04765567282614953,0.14197828106861443,0.09863980691623865,0.13432780381238177,0.07090760905006249,0.19279795671848218,0.09620268596677582,0.016514779020515742,0.06118404818469997,0.07002127781383402,0.21177461187047691,0.05222566505093496,0.11331735880438792,0.15489756472874114,0.18615739961560065,0.1374820667896512,0.08778754652815891,0.05826604790106441,0.07993555192718547,0.028649121338380518,0.0940115777696697,0.08650058022227557,0.11588424506333946,0.04595235372530065,0.11457887041970279,0.04926221918257266,0.016708812858938334,0.04300991516734197,0.03972957690271612,0.13517881477150775,0.025848571034441954,0.11217245707835215,0.14459699429408893,0.11689558820226621,0.14034985214968115,0.07925933737517514,0.03662383397244717,0.07442236021393132,0.02760178738069156,0.062512547560439,0.07530310463159338,0.08480267885726141,0.01551510697813324,0.052447769050562296,0.01457869821065979,0.0072219874207232505,0.017809697179820755,0.014314132034128305,0.07906306401281646,0.006545248657473454,0.06693840247458892,0.07559186847390188,0.048633229129633825,0.09616111037475365,0.03005395574303537,0.010692099245550108,0.03563432199801496,0.010055528325546395,0.021096698771604454
s02_1,0.10728242010017752,0.13252543080376517,0.09122591923422997,0.07907976234478473,0.04961299939140597,0.0516159228874814,0.14788219414039366,0.08355583279318758,0.08026702814977871,0.02453328834513075,0.09628251167140639,0.07359863632031319,0.06555046890777348,0.09098998948177939,0.10939183976697109,0.08957134004641466,0.06096949804626766,0.06100422933689826,0.1267011963543073,0.04751292611976681,0.1299577294624701,0.07849705652609368,0.09933491442614241,0.00845261369215757,0.019429289458490956,0.08237105003141033,0.09584834065921993,0.043219412502108624,0.0028325222887796327,0.07873009988472023,0.12887491579366472,0.057518771423328084,0.08980720261403284,0.06259813154416946,0.07259264098397546,0.03482659260183988,0.029114685393112485,0.07884982028396295,0.054446755008820735,0.17402352531627444,0.147582441900577,0.2755093621635476,0.029737988731215716,0.018827005588850993,0.09808749476010606,0.2506353221684272,0.13482143687421755,0.009987987605111064,0.08633149184397419,0.2174094901138185,0.17705544757787267,0.11053592514270255,0.09974867608522683,0.1853651292876564,0.049390769870468754,0.04330357149341075,0.19975620061942692,0.05196973323480471,0.11757344670961921,0.0817717504715043,0.16756369084983222,0.017769846865074115,0.017129054344656718,0.05635891383852949,0.14149385405874376,0.0806660236652881,0.005879596069253294,0.05257001831414484,0.14102239668509953,0.11132060182719554,0.08315885966236096,0.06943037030424809,0.11458415422090115,0.05790251976391234,0.030451351637578183,0.12529634685249919,0.05994873610990506,0.06787239020476961,0.022854961106233,0.04767450675429473,0.0031065446403356024,0.007902354982190048,0.021685433752693065,0.04139309127991536,0.017432658977187855,0.0010359443904333142,0.022810298691399902,0.04945248977452149,0.026075408751179616,0.04107956996268855,0.020753103141568894,0.028620434471460825,0.06060272107613824,0.009429095795298966,0.031653539735207036
s02_2,0.15902265651892156,0.18620871683152396,0.12392084792984413,0.09827567821129453,0.07808095618089088,0.37099527653615527,0.12643485286820083,0.10641735787088932,0.10586637427268225,0.07693697740052705,0.1477578942800599,0.10778275469846117,0.13018308827984115,0.17831968179931926,0.23751770766231975,0.09171246524910501,0.09074470690946482,0.24668912685452732,0.10862492925998672,0.17484819591271467,0.18885026571110053,0.19643546346054477,0.10580723496430523,0.02312664270713957,0.1863316050952203,0.11868032733115301,0.13098934457475986,0.14398621803898454,0.028669330310547896,0.20860162229930213,0.20114329964070793,0.2012104770311565,0.16338370189287213,0.191132138907534,0.02715665713243229,0.14568188584971076,0.12168137035282056,0.032176976728657124,0.14558919708439647,0.12794622124662686,0.15602869832412652,0.07457956026146464,0.012226634573416755,0.13581802297519632,0.07790044881112254,0.12813858526639768,0.1314311683989317,0.015585049628775273,0.14759891175404186,0.1586295701968865,0.15527786294833373,0.14008498548446155,0.1402268956776312,0.01717870252724615,0.14294898951432267,0.08626883664296892,0.018983895545665517,0.134115176740019,0.11408661172824562,0.13480288025321474,0.04952326074077731,0.006198531945904931,0.14145427965811358,0.08186449675027428,0.12596727110215591,0.12275622875902713,0.00806756201340085,0.13433244445629794,0.14642373770972106,0.13244991077005544,0.13759223693618794,0.13678198291750993,0.010694414974401203,0.14280189662582615,0.0939891741321489,0.012406763720681988,0.0664552095520299,0.07776904366622545,0.08232213823256947,0.014786323073271017,0.0013755532284267073,0.07330160272442433,0.06387388481058047,0.07294804640179921,0.07150759702108224,0.0017940446375312427,0.07776434289361982,0.07832769293582416,0.07019886606950318,0.07262851198558222,0.08009986615681138,0.0026133048645150298,0.07481101726596305,0.06341631692426489,0.003090935890470804
s02_3,0.19294727860306976,0.43219677201596113,0.19219000810042294,0.14164331286029502,0.049844661875304015,0.1728072763879929,0.40571282759012633,0.0033894871872960134,0.009746610778087413,0.0010583341461596761,0.32506264758499426,0.2214020595994096,0.017127506348637758,0.35596436393959224,0.318148608303195,0.20059318750270333,0.1421294896898036,0.129428018987869,0.18647753583381324,0.020661682953464634,0.20372944524560388,0.2199748909550286,0.16001759279797295,0.01408158240255512,0.11809153538048858,0.15199692141362162,0.000975489801520943,0.004341789302762362,0.0004081730315311634,0.19608348961348268,0.1778920836306117,0.011230720068800108,0.19286092046340425,0.20954133978467535,0.19021927726257173,0.16030360230719082,0.0957179534855206,0.18745923900207348,0.014956181025491481,0.2515537460884414,0.3241420340859684,0.37232141106644634,0.029134281447741363,0.09191582897998521,0.16496852852220745,0.0015060200348902678,0.00804427194617446,0.0008147086441268375,0.2070676666592098,0.2547351219724664,0.024956122268700184,0.19038032457135742,0.23018525911794904,0.3241087902167397,0.13568404838593354,0.09423968117682047,0.30325656572870985,0.008913616167228305,0.1294307182435446,0.14873987616992093,0.19281181787765486,0.016884952318911857,0.10449242281341047,0.10600804930506216,0.0007471830682993454,0.004333581582276279,0.0004429468910264067,0.12488966301123532,0.1479077661470527,0.014316398226604478,0.1460124214850381,0.15650023672625019,0.18244115599856478,0.14101073899299021,0.06478425742306171,0.1649376188099372,0.004205893770632852,0.07794180120214828,0.06347517927994449,0.06780023514586947,0.0033089522603586747,0.0737190138423916,0.07463323982601199,0.00018434116965701563,0.0009197720891666233,0.00010110091295977755,0.07634844674793546,0.06330395294649942,0.0028350202597371295,0.11159797064369233,0.09485594224228751,0.07690713946461077,0.10816515662343475,0.03540615215699014,0.06619681122123493
s02_4,0.09092114627256855,0.19598153757174733,0.1504741881365549,0.11873363550483107,0.005468465815989182,0.07015737806111673,0.21410156383720558,0.10944594574439903,0.001314748502548323,0.02660586072450923,0.05185552198405026,0.12922115232053918,0.08237127896114134,0.05085979106109271,0.13940916507830797,0.07327153460926202,0.04260614468548249,0.09703560258421655,0.0613889080466856,0.12802000069323366,0.1385451414385825,0.12913891740546246,0.1284809512487582,0.0034763419348225666,0.052211652175196674,0.12198052865918417,0.128746755011551,0.001018515903989453,0.02308760706554364,0.08338103028019918,0.1217196557224697,0.0949880352737525,0.0760077579819097,0.1169268398866558,0.14322416813398936,0.048251550538582134,0.05872385526879092,0.11983168451660117,0.14739541109037857,0.18963071037959733,0.19521012067375215,0.3041260257298297,0.010254048012861849,0.056454115214665285,0.16379374666572621,0.2746853208443352,0.0029652293761913777,0.05460118332777707,0.12074822939131474,0.21115780659883007,0.24334573940869259,0.12494628236069791,0.18377798801535586,0.3346891666020024,0.0718066462630974,0.08516177473505034,0.3097128377153945,0.11856600886955648,0.11502652746272322,0.11273740220286327,0.18372013967860026,0.006495234071229653,0.04684812977346133,0.0878406059206882,0.15408167290770386,0.0017640337486698905,0.03294015548266904,0.09232334969646318,0.14320101441707492,0.1512194223560141,0.11903156403974831,0.1161936590241191,0.19187859863086276,0.07808041603934376,0.056518975223020816,0.1831872886060616,0.09261133592915957,0.06880814686721765,0.0732586778476846,0.0598772675931783,0.0011549368600910154,0.025941075526927992,0.03382607036100419,0.05043582477859089,0.00030588399782496107,0.006112551870092516,0.05270751777461771,0.07998914869322186,0.05616739594621019,0.09181076301617998,0.039636896084074454,0.059249460857569276,0.06544800472427574,0.021004904218224527,0.055486332551514785
s03_1,0.3775531823618026,0.21832922286545445,0.13293183063146488,0.1284243889937378,0.1258715643034486,0.007342116522401687,0.30990268243089497,0.011089539141663217,0.015980212033304173,0.07693541795244045,0.21039687295586035,0.02934974543132407,0.09177573306074033,0.20241745000128247,0.1121600828567964,0.0925998203032669,0.003869693193686083,0.022584764596325493,0.08283657243390609,0.11995876496229357,0.12426927864030773,0.11841018077001335,0.15164526613651927,0.1523498292625825,0.0013011433474846396,0.11817334580160192,0.008760578412191402,0.014945111485355371,0.0846814733928485,0.09632098567590208,0.004452224390756907,0.10282415524296058,0.10829774057871518,0.10379377853180992,0.10493450588416199,0.0032074126918682807,0.014059090086322251,0.09882340578926888,0.16742183897995677,0.2752988513631451,0.2704029907811064,0.35799025818654845,0.38165585381964373,0.0014976679056903134,0.1666952698516076,0.01959614256043355,0.03990830006415703,0.2303712333108812,0.20006587949975316,0.003910348171706175,0.2665305849150667,0.15534201476848958,0.2643920077977047,0.28344876230670313,0.0036401646410129654,0.02880554863510402,0.24658064221311427,0.152364141111182,0.180627362069539,0.15561212906893165,0.15959813912107834,0.1784895811971083,0.004253571975250157,0.11705380789325201,0.009608403651380801,0.019494466919599857,0.11311727437512047,0.14349638273799284,0.0037669023410852203,0.12835675945989594,0.12100456205454971,0.14729618008949483,0.1342260171037067,0.011429550897013075,0.02188594543710754,0.11733309508456621,0.11078927596308645,0.060083501120190806,0.046651023703498704,0.0532101027764482,0.06290398149543466,0.004412630215434607,0.05150025842007392,0.002704159932757916,0.003897838579155755,0.028609372017309277,0.04678167460918978,0.0026741246387440337,0.03579157697623906,0.05566914209746574,0.04474395036334364,0.03811284968818545,0.012879009891197772,0.014869134463760222,0.03240650169718073
s03_2,0.2430411664757342,0.2616847067663071,0.20218392089194304,0.1758730894514888,0.01555474991336507,0.030225891389937275,0.21473446466471366,0.016940275483737763,0.01868487347167107,0.0021535278346834844,0.23447692600398923,0.11422259270481784,0.14365460415265682,0.21034491336822045,0.0927794589461414,0.020157840673403465,0.10940029965788191,0.09910709877541933,0.07272873076790369,0.20200169492304118,0.220581312820656,0.19540298530925757,0.1928239723976301,0.016001510866061837,0.024259012943763668,0.20169975530039516,0.019962232567634033,0.022413616395719604,0.0026239257097300786,0.18372705698568173,0.14145862207197069,0.16842371346340893,0.1795998636051798,0.15974901180265316,0.027521670366140494,0.10125479981808035,0.14986954111854536,0.10472793882853439,0.2654662594813757,0.2931463137520941,0.33374142413835506,0.38780940936385133,0.03498009706794379,0.031851840359281555,0.3019518730868857,0.040459985188699796,0.05324794486102752,0.006187610959812357,0.27869135200481565,0.3593528824233108,0.384685627048137,0.28732460718119696,0.3744738978205862,0.06606651504405714,0.15494167688099758,0.30398576870075383,0.23738194395256268,0.17792770166359112,0.18765395722962266,0.1978526581815417,0.1740243207330671,0.018009974113749803,0.06442860708507529,0.17533949154680653,0.019774187784760967,0.02672265281095575,0.003252053271826718,0.1908844783141103,0.2135050894428901,0.19019227429769475,0.19286895042360713,0.1952814054169086,0.03415437105122135,0.1278482933208502,0.1481512321184473,0.11782360403329957,0.09541873291680761,0.08197961716688823,0.07412540610455454,0.06498416687352154,0.0032133223058393775,0.06463586281793203,0.0761526732351922,0.0036069162586424646,0.00490862942489328,0.0005738489747867743,0.08469859363117918,0.07985991374147443,0.0693560849879224,0.09170527304570761,0.0786910475051473,0.006511783062894595,0.0933524163118912,0.06264892407098689,0.030778788314529706
